symbol,date,high,low,open,close,volume,adjclose
COKE,2018-04-13,174.91000366210938,171.3000030517578,173.0,172.67999267578125,26000.0,172.67999267578125
COKE,2018-04-12,175.57000732421875,172.0,174.11000061035156,172.36000061035156,22100.0,172.36000061035156
COKE,2018-04-11,175.0,172.27999877929688,173.80999755859375,174.0800018310547,37500.0,174.0800018310547
COKE,2018-04-10,177.1999969482422,173.36000061035156,176.1300048828125,174.75,45500.0,174.75
COKE,2018-04-09,177.3000030517578,174.5500030517578,175.69000244140625,174.8800048828125,34700.0,174.8800048828125
COKE,2018-04-06,176.6999969482422,172.80999755859375,175.25,174.75,31300.0,174.75
COKE,2018-04-05,179.10000610351562,175.77999877929688,179.10000610351562,176.72000122070312,52000.0,176.72000122070312
COKE,2018-04-04,178.9499969482422,171.8300018310547,172.0,177.75999450683594,55800.0,177.75999450683594
COKE,2018-04-03,174.99000549316406,169.97999572753906,171.32000732421875,174.0399932861328,35500.0,174.0399932861328
COKE,2018-04-02,173.66000366210938,168.75999450683594,172.63999938964844,170.3000030517578,51900.0,170.3000030517578
COKE,2018-03-29,177.6300048828125,172.64999389648438,175.24000549316406,172.6699981689453,82500.0,172.6699981689453
COKE,2018-03-28,175.38999938964844,171.6999969482422,172.94000244140625,174.17999267578125,18600.0,174.17999267578125
COKE,2018-03-27,177.24000549316406,171.82000732421875,174.10000610351562,172.5500030517578,30100.0,172.5500030517578
COKE,2018-03-26,174.25999450683594,170.8000030517578,171.7100067138672,173.55999755859375,44600.0,173.55999755859375
COKE,2018-03-23,175.6199951171875,168.5399932861328,175.4199981689453,169.58999633789062,27700.0,169.58999633789062
COKE,2018-03-22,177.32000732421875,174.5,175.4499969482422,175.6699981689453,47600.0,175.6699981689453
COKE,2018-03-21,179.0399932861328,176.5,178.77999877929688,176.5,22300.0,176.5
COKE,2018-03-20,180.99000549316406,177.00999450683594,179.5,179.10000610351562,26500.0,179.10000610351562
COKE,2018-03-19,182.1999969482422,178.2100067138672,182.0,179.35000610351562,45400.0,179.35000610351562
COKE,2018-03-16,182.69000244140625,179.00999450683594,179.83999633789062,182.44000244140625,75800.0,182.44000244140625
COKE,2018-03-15,184.5800018310547,179.1199951171875,183.89999389648438,179.5,53600.0,179.5
COKE,2018-03-14,187.5,183.4499969482422,186.7100067138672,183.91000366210938,44300.0,183.91000366210938
COKE,2018-03-13,188.22000122070312,186.0,187.88999938964844,186.49000549316406,35200.0,186.49000549316406
COKE,2018-03-12,189.99000549316406,186.13999938964844,187.82000732421875,187.47999572753906,30900.0,187.47999572753906
COKE,2018-03-09,190.24000549316406,185.16000366210938,189.3300018310547,187.86000061035156,47500.0,187.86000061035156
COKE,2018-03-08,189.6999969482422,185.30999755859375,185.99000549316406,188.80999755859375,32100.0,188.80999755859375
COKE,2018-03-07,189.92999267578125,184.19000244140625,185.52999877929688,185.30999755859375,48400.0,185.30999755859375
COKE,2018-03-06,189.0,184.4600067138672,185.86000061035156,188.77999877929688,59400.0,188.77999877929688
COKE,2018-03-05,190.49000549316406,185.9499969482422,189.16000366210938,186.0,45500.0,186.0
COKE,2018-03-02,192.83999633789062,183.27000427246094,184.80999755859375,191.1999969482422,73300.0,191.1999969482422
COKE,2018-03-01,189.3300018310547,182.05999755859375,187.1699981689453,185.50999450683594,42400.0,185.50999450683594
COKE,2018-02-28,190.82000732421875,183.47000122070312,187.19000244140625,186.61000061035156,59100.0,186.61000061035156
COKE,2018-02-27,187.10000610351562,182.1999969482422,185.4600067138672,182.1999969482422,61600.0,182.1999969482422
COKE,2018-02-26,186.30999755859375,182.8300018310547,182.8300018310547,185.6199951171875,52600.0,185.6199951171875
COKE,2018-02-23,184.0,181.5,183.35000610351562,182.1699981689453,36200.0,182.1699981689453
COKE,2018-02-22,185.44000244140625,182.00999450683594,183.75,183.0399932861328,44400.0,183.0399932861328
COKE,2018-02-21,188.2100067138672,183.08999633789062,185.9499969482422,183.52000427246094,46800.0,183.52000427246094
COKE,2018-02-20,190.44000244140625,185.0,190.44000244140625,185.72999572753906,35800.0,185.72999572753906
COKE,2018-02-16,194.85000610351562,188.88999938964844,191.11000061035156,190.69000244140625,42600.0,190.69000244140625
COKE,2018-02-15,190.1999969482422,185.0,185.02999877929688,189.02000427246094,31800.0,189.02000427246094
COKE,2018-02-14,185.97000122070312,182.7100067138672,182.7100067138672,183.7899932861328,36500.0,183.7899932861328
COKE,2018-02-13,184.99000549316406,180.0,181.10000610351562,183.41000366210938,58000.0,183.41000366210938
COKE,2018-02-12,185.63999938964844,180.47999572753906,184.11000061035156,180.97000122070312,63400.0,180.97000122070312
COKE,2018-02-09,187.47999572753906,178.49000549316406,184.47999572753906,182.2899932861328,52500.0,182.2899932861328
COKE,2018-02-08,188.61000061035156,182.5800018310547,187.61000061035156,182.5800018310547,56000.0,182.5800018310547
COKE,2018-02-07,189.07000732421875,184.0,185.02999877929688,187.61000061035156,40400.0,187.61000061035156
COKE,2018-02-06,188.30999755859375,180.38999938964844,182.08999633789062,184.55999755859375,69100.0,184.55999755859375
COKE,2018-02-05,199.0,185.77999877929688,198.42999267578125,186.6999969482422,65900.0,186.6999969482422
COKE,2018-02-02,204.9600067138672,198.02999877929688,201.50999450683594,199.24000549316406,93300.0,199.24000549316406
COKE,2018-02-01,206.25999450683594,201.35000610351562,201.77999877929688,202.83999633789062,80200.0,202.83999633789062
COKE,2018-01-31,204.11000061035156,201.0,203.0,202.52000427246094,42800.0,202.52000427246094
COKE,2018-01-30,204.08999633789062,201.0800018310547,201.27999877929688,203.10000610351562,32000.0,203.10000610351562
COKE,2018-01-29,207.5,201.77999877929688,205.91000366210938,202.05999755859375,63600.0,202.05999755859375
COKE,2018-01-26,207.4199981689453,203.3699951171875,204.9499969482422,206.94000244140625,62300.0,206.94000244140625
